Codigo_da_categoria;Categoria;Valor_da_hora;Quantidade_de_horas
3;Administrativo;;
7;Consultor;;
4;Consultor internacional;;
5;Consultor nacional;;
6;Coordenador ;;
8;Desenhista;;
9;Desenhista Júnior;;
10;Desenhista Médio;;
11;Desenhista Sênior;;
12;Engenheiro Civil;;
13;Engenheiro Civil Júnior;;
14;Engenheiro Civil Médio;;
15;Engenheiro Civil Sênior;;
16;Engenheiro Master;;
17;Engenheiro Master CAMPO;;
18;Geólogo Júnior;;
19;Geólogo Médio;;
20;Geólogo Sênior;;
21;Geotécnico Júnior;;
22;Geotécnico Médio;;
23;Geotécnico Sênior;;
24;Hidrogeólogo Júnior;;
25;Hidrogeólogo Médio;;
26;Hidrogeólogo Sênior;;
27;Hidrólogo Júnior;;
28;Hidrólogo Médio;;
29;Hidrólogo Sênior;;
36;Planejamento;;
30;Profissional Júnior;;
31;Profissional Júnior CAMPO;;
32;Profissional Médio;;
33;Profissional Médio CAMPO;;
34;Profissional Sênior;;
35;Profissional Sênior CAMPO;;
37;Projetista Júnior;;
38;Projetista Médio;;
39;Projetista Sênior;;
42;Técnico de Segurança;;
40;Técnico Nível Médio;;
41;Técnico Sênior;;
